bx,by,bz,rx,ry,rz,heading
0.022158433,-0.06939575,1.1400976,-1.9042618,0.1278924,0.610327,-0.21924518048763275
-0.08092163,-0.077837095,1.1237365,-1.9042333,0.12175888,0.6101331,-0.22035014629364014
-0.18293878,-0.0861914,1.1036383,-1.903856,0.11560709,0.61087465,-0.2197556495666504
-0.28390732,-0.09445983,1.0798407,-1.9031065,0.10948699,0.6125277,-0.21691907942295074
-0.38383988,-0.10264342,1.0523815,-1.9020616,0.10346925,0.6148121,-0.21313263475894928
-0.48274747,-0.110743076,1.021298,-1.9007952,0.09756082,0.61721104,-0.2088407576084137
-0.58063966,-0.11875958,0.98662806,-1.8993658,0.09183587,0.6192747,-0.20402179658412933
-0.6775247,-0.12669364,0.94840896,-1.897913,0.086417265,0.6207127,-0.19810792803764343
-0.77340966,-0.1345458,0.90667856,-1.8965527,0.08146342,0.62146693,-0.19115205109119415
-0.8683007,-0.14231655,0.8614753,-1.8953227,0.07708699,0.6216518,-0.18358345329761505
-0.96220255,-0.1500063,0.8128376,-1.894201,0.07336844,0.6213996,-0.17614611983299255
-1.0367571,-0.15611084,0.834895,-1.8930529,0.070264176,0.6209132,-0.1699083000421524
-1.1048069,-0.16168222,0.8763633,-1.8915536,0.06769628,0.62048125,-0.16543912887573242
-1.1723278,-0.1672103,0.91359866,-1.889484,0.06554848,0.6203659,-0.16266295313835144
-1.2393402,-0.17269675,0.94664294,-1.8869429,0.0636864,0.6207319,-0.16134436428546906
-1.3058634,-0.17814317,0.97553474,-1.8841653,0.06209929,0.6216631,-0.1612451672554016
-1.3719146,-0.18355092,1.00031,-1.8813783,0.060814176,0.6232101,-0.1624278724193573
-1.4375092,-0.18892132,1.0210019,-1.878806,0.05986844,0.6254403,-0.16489779949188232
-1.5026612,-0.19425549,1.0376422,-1.8766998,0.059376128,0.6284866,-0.1680031567811966
-1.5673828,-0.1995544,1.0502602,-1.875389,0.05945913,0.6324207,-0.170364648103714
-1.6316843,-0.20481895,1.0588835,-1.8752607,0.06016292,0.6372106,-0.17215166985988617
-1.6066694,-0.19856435,0.9953904,-1.876688,0.061557837,0.64266837,-0.1733718067407608
-1.5417199,-0.18712537,0.8971195,-1.8797235,0.063842945,0.64831364,-0.17247812449932098
-1.4775336,-0.1758208,0.79610026,-1.8837229,0.0670892,0.65351933,-0.16730853915214539
-1.4141134,-0.16465114,0.6923837,-1.8877952,0.07105159,0.657734,-0.15906071662902832
-1.3514614,-0.15361679,0.5860214,-1.8913772,0.075338356,0.6606752,-0.152495339512825
-1.28958,-0.14271815,0.47706482,-1.8942869,0.07930785,0.6624311,-0.14961151778697968
-1.2284706,-0.13195549,0.36556584,-1.8966414,0.08248908,0.66313183,-0.14988496899604797
-1.1681346,-0.12132901,0.25157627,-1.8986579,0.08474613,0.66295505,-0.15308113396167755
-1.1085724,-0.11083888,0.13514815,-1.9005525,0.08603173,0.6621747,-0.1572190672159195
-1.0501877,-0.100591965,0.020500127,-1.9024479,0.08643924,0.66113347,-0.16054531931877136
1.2370781,-0.016133439,1.0622479,-1.9043818,0.08618473,0.6597302,-0.16089566051959991
1.1254531,-0.02141199,1.0902215,-1.9062263,0.085647024,0.65760803,-0.15632446110248566
1.0150852,-0.026631102,1.1139762,-1.907899,0.085433766,0.6545924,-0.14908118546009064
0.90593755,-0.03179251,1.1335636,-1.9093429,0.086269386,0.6508293,-0.14323724806308746
0.7979757,-0.036897838,1.1490335,-1.9103488,0.088171534,0.6469276,-0.1403399407863617
0.69116867,-0.04194856,1.1604323,-1.9106503,0.090497956,0.64363116,-0.1389889270067215
0.5854873,-0.04694605,1.1678056,-1.9099933,0.092630796,0.6411936,-0.137981578707695
0.4809055,-0.05189154,1.1711963,-1.9083416,0.09421263,0.6392732,-0.1375787854194641
0.37739912,-0.05678618,1.1706465,-1.9060763,0.09486694,0.63730377,-0.13698603212833405
0.27494636,-0.061630998,1.1661963,-1.9036756,0.09451168,0.63491154,-0.13514888286590576
0.1735276,-0.06642692,1.1578846,-1.9012737,0.09335458,0.6321918,-0.13353043794631958
0.0731253,-0.07117476,1.1457502,-1.8987112,0.09178375,0.6292864,-0.13384409248828888
-0.02627619,-0.075875305,1.12983,-1.8955641,0.090088,0.62664336,-0.13858023285865784
-0.12469074,-0.08052916,1.1101615,-1.8914979,0.0883264,0.62573296,-0.14292053878307343
-0.22213046,-0.08513692,1.0867815,-1.8866694,0.08706144,0.62684363,-0.1463814526796341
-0.31860596,-0.08969908,1.0597264,-1.881533,0.08626281,0.62919533,-0.15027499198913574
-0.41412613,-0.09421607,1.0290327,-1.8766406,0.08564229,0.6315678,-0.15276531875133514
-0.5086987,-0.09868824,0.994737,-1.8721441,0.084979795,0.63336086,-0.1536567360162735
-0.60233,-0.1031159,0.9568762,-1.8679754,0.08425259,0.6344987,-0.15400485694408417
-0.6950253,-0.10749932,0.9154877,-1.8640643,0.083532296,0.6352209,-0.1548677533864975
-0.7867889,-0.111838646,0.8706091,-1.8603767,0.08290457,0.6359576,-0.15739686787128448
-0.8776238,-0.11613408,0.8222785,-1.8569715,0.08241191,0.63700825,-0.16188237071037292
-0.9538526,-0.11973811,0.826078,-1.8538601,0.082079925,0.6384699,-0.1666632443666458
-1.018608,-0.12279883,0.8687781,-1.8507653,0.08194813,0.64045286,-0.17142057418823242
-1.0828745,-0.12583645,0.9072451,-1.8473313,0.08201951,0.6430198,-0.17570354044437408
-1.1466725,-0.1288519,0.9415201,-1.8436415,0.08215677,0.6458846,-0.17896175384521484
-1.2100201,-0.13184609,0.9716415,-1.8399588,0.082252964,0.648704,-0.18111328780651093
-1.2729338,-0.13481978,0.99764484,-1.8363779,0.08233131,0.6512864,-0.18194034695625305
-1.3354293,-0.13777371,1.0195626,-1.8329368,0.08256122,0.653456,-0.18157875537872314
-1.3975202,-0.14070848,1.0374259,-1.8298463,0.08316262,0.6549883,-0.18090157210826874
-1.4592179,-0.14362468,1.0512632,-1.8274463,0.08437912,0.6556475,-0.18028783798217773
-1.5205328,-0.1465228,1.0611017,-1.8260758,0.08631782,0.65529644,-0.18036670982837677
-1.5814735,-0.1494032,1.0669667,-1.8259474,0.08905395,0.65411943,-0.18161077797412872
-1.610809,-0.15065701,1.0440878,-1.827167,0.09268826,0.6526651,-0.18290600180625916
-1.5596642,-0.14785686,0.95101357,-1.829806,0.09712519,0.6519259,-0.18038776516914368
-1.5090606,-0.14508629,0.855019,-1.8335929,0.10172138,0.65184855,-0.17176024615764618
-1.4590038,-0.1423457,0.75615716,-1.8381556,0.10590854,0.6517717,-0.15722468495368958
-1.4094994,-0.13963532,0.6544816,-1.8428212,0.10918718,0.65166163,-0.14289791882038116
-1.360552,-0.13695545,0.5500463,-1.8469597,0.11152898,0.6516452,-0.1314023733139038
-1.3121663,-0.13430634,0.44290578,-1.8507314,0.11311056,0.6515866,-0.12326683104038239
-1.2643464,-0.13168819,0.33311465,-1.8545332,0.113903224,0.651026,-0.12088073045015335
-1.2170956,-0.12910128,0.2207276,-1.858614,0.11375497,0.64972204,-0.12397988140583038
-1.1704172,-0.12654565,0.1057996,-1.8630018,0.11260979,0.6477088,-0.12864404916763306
-1.1259352,-0.12395669,0.020500205,-1.8676378,0.11059525,0.64507324,-0.0950799509882927
1.2217935,0.013409059,1.0639341,-2.0076172,0.39161095,0.76109827,-0.10368189960718155
1.0952471,0.013079092,1.0935276,-2.0084643,0.39024955,0.75797665,-0.10109689831733704
0.97030747,0.012753315,1.118844,-2.0097814,0.38850182,0.75163,-0.09706807136535645
0.84692454,0.012431597,1.1399426,-2.0111146,0.3862804,0.7437549,-0.09324291348457336
0.7250521,0.012113816,1.1568804,-2.011289,0.3833695,0.73773533,-0.09306902438402176
0.60464716,0.011799863,1.1697115,-2.0106053,0.37887707,0.73228997,-0.08591488748788834
